,County_of_Origin,Period,AgeClassDescription,unemployed_number
0,abrantes,Sep-19 to Feb-20,15-24,168
1,aguiar da beira,Sep-19 to Feb-20,15-24,16
2,alandroal,Sep-19 to Feb-20,15-24,25
3,albergaria-a-velha,Sep-19 to Feb-20,15-24,69
4,albufeira,Sep-19 to Feb-20,15-24,306
5,alcanena,Sep-19 to Feb-20,15-24,30
6,alcobaça,Sep-19 to Feb-20,15-24,135
7,alcochete,Sep-19 to Feb-20,15-24,31
8,alcoutim,Sep-19 to Feb-20,15-24,5
9,alcácer do sal,Sep-19 to Feb-20,15-24,33
10,alenquer,Sep-19 to Feb-20,15-24,97
11,alentejo,Sep-19 to Feb-20,15-24,2180
12,alfândega da fé,Sep-19 to Feb-20,15-24,22
13,alijó,Sep-19 to Feb-20,15-24,38
14,aljezur,Sep-19 to Feb-20,15-24,15
15,aljustrel,Sep-19 to Feb-20,15-24,39
16,almada,Sep-19 to Feb-20,15-24,322
17,almeida,Sep-19 to Feb-20,15-24,15
18,almeirim,Sep-19 to Feb-20,15-24,59
19,almodôvar,Sep-19 to Feb-20,15-24,16
20,alpiarça,Sep-19 to Feb-20,15-24,18
21,alter do chão,Sep-19 to Feb-20,15-24,19
22,alvaiázere,Sep-19 to Feb-20,15-24,20
23,alvito,Sep-19 to Feb-20,15-24,14
24,amadora,Sep-19 to Feb-20,15-24,390
25,amarante,Sep-19 to Feb-20,15-24,298
26,amares,Sep-19 to Feb-20,15-24,68
27,anadia,Sep-19 to Feb-20,15-24,59
28,ansião,Sep-19 to Feb-20,15-24,34
29,arcos de valdevez,Sep-19 to Feb-20,15-24,51
30,arganil,Sep-19 to Feb-20,15-24,42
31,armamar,Sep-19 to Feb-20,15-24,34
32,arouca,Sep-19 to Feb-20,15-24,63
33,arraiolos,Sep-19 to Feb-20,15-24,15
34,arronches,Sep-19 to Feb-20,15-24,6
35,arruda dos vinhos,Sep-19 to Feb-20,15-24,17
36,aveiro,Sep-19 to Feb-20,15-24,236
37,avis,Sep-19 to Feb-20,15-24,23
38,azambuja,Sep-19 to Feb-20,15-24,49
39,baião,Sep-19 to Feb-20,15-24,121
40,barcelos,Sep-19 to Feb-20,15-24,307
41,barrancos,Sep-19 to Feb-20,15-24,16
42,barreiro,Sep-19 to Feb-20,15-24,270
43,batalha,Sep-19 to Feb-20,15-24,39
44,beja,Sep-19 to Feb-20,15-24,174
45,belmonte,Sep-19 to Feb-20,15-24,22
46,benavente,Sep-19 to Feb-20,15-24,131
47,bombarral,Sep-19 to Feb-20,15-24,16
48,borba,Sep-19 to Feb-20,15-24,35
49,boticas,Sep-19 to Feb-20,15-24,13
50,braga,Sep-19 to Feb-20,15-24,643
51,bragança,Sep-19 to Feb-20,15-24,119
52,cabeceiras de basto,Sep-19 to Feb-20,15-24,107
