,OBJECTID,COD_VIA,DESIGNACAO,HIERARQUIA,EIXO,TIPOLOGIA,SITUACAO,IDTIPO,SE_ANNO_CAD_DATA,GlobalID,Shape__Length,geometry
0,1,5968,Passeio dos Heróis do Mar,Local,,Percurso Ciclopedonal,Executado,9196,,308b49ce-f21a-42b6-ac84-f0540386c6ea,111.713149335236,"LINESTRING (-9.093611782503491 38.7829591923676, -9.0935614328301 38.7829206039074, -9.09347785537272 38.7827986957197, -9.093350352094561 38.7825851811743, -9.09322055990903 38.7823297992722, -9.093186878475761 38.7822554920381)"
1,6,100031,Campo Grande,Principal,Central,Pista Ciclável Bidirecional,Executado,9196,,4be232fd-020b-4c76-a59d-2215a65303f6,21.6994442419475,"LINESTRING (-9.14832243430936 38.747977409217, -9.148187643897611 38.7479979655773, -9.14813108237407 38.7480064001218)"
2,7,,Troço da Frente Ribeirinha,Local,,Pista Ciclável Bidirecional,Executado,9196,,9e92db5e-fc33-4820-bfe5-5a00f93736e5,381.321123539718,"LINESTRING (-9.21314651900988 38.6934096000848, -9.21314619381973 38.6934085077131, -9.21310666345566 38.6932761006397, -9.21306746097666 38.6931447913061, -9.213028808266619 38.6930153201234, -9.212990922717831 38.6928884169904, -9.212951923258069 38.6927577870545, -9.212912947154541 38.6926272340059, -9.21287468521164 38.692499070225, -9.212835619276561 38.6923682159121, -9.21282933645946 38.6923471681661, -9.21282614474528 38.6923324587895, -9.21282537848232 38.6923146321065, -9.21282845341555 38.6922949095147, -9.212834553874639 38.6922780062345, -9.212844451512421 38.6922608806863, -9.21285642605517 38.6922463641079, -9.21286687975012 38.6922365865905, -9.212883606380711 38.6922244398901, -9.21290101573093 38.6922149961166, -9.21291856970991 38.6922079453632, -9.21293700852943 38.6922027239068, -9.212944298357939 38.6922012087238, -9.212950353901279 38.6922001100233, -9.213270864709809 38.6921421656427, -9.213606681912481 38.6920814530743, -9.21379324582731 38.6920474150295, -9.213965959517081 38.6920161675488, -9.214165725073361 38.6919800246172, -9.21432480233713 38.6919518144952, -9.214361859639229 38.6919452426024, -9.21458308684592 38.6919051830004, -9.21468285014814 38.6918874662918)"
3,8,67013,Rua Edison,Local,,30+Bici,Executado,9196,,b5fbb69f-24e6-4181-930c-3fe6c43b7e0f,139.004178690232,"LINESTRING (-9.13893726920884 38.7440916456877, -9.13884750056252 38.744121944163, -9.138693811393811 38.7441726508509, -9.13860371845564 38.7442023761691, -9.138450029286959 38.7442530827999, -9.138359936348801 38.744282807384, -9.138206246281779 38.7443335132571, -9.13811721335566 38.7443628888902, -9.137937548502199 38.7444221648973, -9.1379074675166 38.7444320887175, -9.13786971941003 38.7444445425353, -9.137787488527261 38.7444715345578)"
4,14,67041,Rua Latino Coelho,Local,,30+Bici,Executado,9196,,75a13905-41ef-4221-b1f4-7b4bfd47f228,40.7229786019416,"LINESTRING (-9.148137164866849 38.7323037927639, -9.147804393851329 38.7321852612268)"
5,15,66803,Avenida da República,Principal,Central,Pista Ciclável Bidirecional,Executado,9196,,235b987b-a5c6-4be1-9cec-cfc97615cdfe,13.1112557457686,"LINESTRING (-9.14840220560491 38.7479658836126, -9.148386998025479 38.7479045171465, -9.148379990267919 38.7478756747281)"
6,18,66932,Avenida de Paris,Principal,Benfica - Braço de Prata,30+Bici,Executado,9196,,c4c85000-6c0c-40df-884b-7475c90600f6,171.045242333782,"LINESTRING (-9.13551586836263 38.7411797133255, -9.135518599241109 38.7411794736968, -9.135551778516129 38.7411770458797, -9.13555185127967 38.7411770409751, -9.135576457931929 38.7411752402564, -9.13566385592423 38.7411688445518, -9.13585350824702 38.7411812653067, -9.136033792039701 38.7411930652671, -9.13605197843264 38.741194128882, -9.13615775560581 38.7411977515933, -9.136263630496741 38.7411970156364, -9.13631252232801 38.741195846863, -9.13636124502877 38.7411924689981, -9.13642842659466 38.7411871646434, -9.13649534104279 38.7411800986933, -9.136588535863631 38.7411658316759, -9.136683280278341 38.7411469206214, -9.1367419824872 38.7411328883216, -9.136783964353681 38.7411208403143, -9.13682807253247 38.74110632735, -9.13691278276543 38.7410782073787, -9.136941008729959 38.7410699317684, -9.13694670568518 38.7410672177773, -9.136951861889401 38.7410639107852, -9.13695637662782 38.7410600753866, -9.13696016171526 38.7410557864973, -9.136963143218569 38.741051127891, -9.13697223197644 38.7410323764744, -9.13698493814398 38.7410149508903)"
7,20,67029,Rua Marquês de Fronteira,Complementar,,Pista Ciclável Unidirecional,Executado,9196,,77216129-ba90-46b9-8680-742ba5507a53,30.6380770354669,"LINESTRING (-9.15995332204316 38.728353719434, -9.159928158435431 38.7283916681484, -9.159913371267541 38.7284139267689, -9.159896225778221 38.7284357534402, -9.159877473690459 38.7284567606831, -9.15985020892329 38.7284815638638, -9.15982313998882 38.7285046122501, -9.15979692535219 38.7285289409774)"
8,27,67014,Praça de Londres,Principal,Benfica - Braço de Prata,Pista Ciclável Bidirecional,Executado,9196,,d5f3bcb2-9731-461c-9c75-bd731298dccb,38.8309755005909,"LINESTRING (-9.13698493814398 38.7410149508903, -9.136996310815499 38.7410117712484, -9.13703050878004 38.7410022091995, -9.1370425605779 38.7409982896489, -9.137050400175371 38.7409953664516, -9.13709193917242 38.740979880931, -9.13712915008646 38.7409660083512, -9.137135553277799 38.7409636211657, -9.13715285303353 38.7409571721912, -9.13715926071646 38.7409547836041, -9.13717401823995 38.740949281936, -9.13719785952758 38.7409403932236, -9.13730217818658 38.7409022164506)"
9,37,67034,Avenida Fontes Pereira de Melo,Principal,Central,Pista Ciclável Unidirecional,Executado,9196,,4141a728-b2be-4eab-9d80-8851485ef67b,10.5687658148142,"LINESTRING (-9.14538171748011 38.7326710018643, -9.14546738082559 38.7327029330317)"
10,42,33536,Praça Baden Powell,Complementar,,Pista Ciclável Bidirecional,Executado,9196,,e53ac1d3-eeb2-485e-8491-caa84d54c6c6,14.8465210851137,"LINESTRING (-9.109486114908419 38.7682077462984, -9.10951999909317 38.7682301846475, -9.109550416701239 38.7682554628276, -9.109576978601099 38.7682832574529)"
11,53,,Ponte ciclopedonal sobre a 2ª Circular,Complementar,,Percurso Ciclopedonal,Executado,9196,,03fab8e5-8e73-469b-b657-3836849fec4d,2.48843551545433,"LINESTRING (-9.175298338336599 38.7576547781778, -9.175287893624811 38.7576393663211)"
12,55,67041,Rua Latino Coelho,Local,,30+Bici,Executado,9196,,7df7f63f-9d2f-481d-b382-394d953b8484,16.0289731675582,"LINESTRING (-9.14826812486224 38.7323504855079, -9.148137164866849 38.7323037927639)"
