,PanelID,X,Y,Max_Visibi,Average_Da
0,11714,-9.315949,38.958125,69,31.0
1,34634,-9.143221,38.710728,63,34.0
2,4660,-9.420993,38.702024,69,35.0
3,26319,-9.216405,38.780154,69,35.0
4,26317,-9.243129,38.723455,69,7179.0
5,27178,-9.322304,38.830235,69,37.0
6,49291,-9.204441,38.710662,71,43.0
7,21613,-9.217723,38.758999,69,46.0
8,3881,-9.398449,38.7411,69,53.0
9,27302,-9.386282,38.81623,69,59.0
10,11768,-9.147169,38.748352,69,4658.5
11,358,-9.418276,38.700433,71,61.0
12,13486,-9.403606,38.738088,69,5057.0
13,27303,-9.386282,38.81623,69,63.0
14,27307,-9.111646,38.760375,69,6197.0
15,27110,-9.30143,38.871959,69,64.0
16,32412,-9.313075,38.783593,69,83.0
17,11772,-9.335661,38.978125,69,88.0
18,32099,-9.1505,38.72608,69,5520.0
19,27367,-9.129455,38.762456,69,1898.0
20,13124,-9.20021,38.765079,69,100.0
21,26272,-9.170427,38.787002,69,100.0
22,5836,-9.096992,38.774788,69,102.0
23,23772,-9.10563,38.74087,69,105.0
24,11776,-9.277139,38.800031,69,2096.0
25,29020,-9.196453,38.707701,69,12236.0
26,26309,-9.170344,38.786964,69,116.0
27,27366,-9.405826,38.817624,69,118.0
28,8873,-9.147292,38.742263,69,118.0
29,27306,-9.206843,38.70303,69,12508.0
30,20518,-9.034209,38.89031,69,120.0
31,419,-9.367792,38.736929,71,120.0
32,18807,-9.20448,38.710556,69,3886.0
33,27125,-9.405914,38.815556,69,125.0
34,27161,-9.191705,38.744506,69,126.0
35,27122,-9.405915,38.815576,69,127.0
36,18718,-9.305328,38.769829,69,128.0
37,9167,-9.189753,38.74895,69,129.0
38,20514,-9.337695,38.794398,69,7781.0
39,27309,-8.994509,39.047769,69,24939.0
40,11128,-9.159037,38.838195,75,134.0
41,27138,-9.32849,38.867283,69,139.0
42,27092,-9.107173,38.746612,69,6404.0
43,18806,-9.229911,38.79794,69,1867.0
44,27111,-9.166632,38.709423,69,6796.0
45,19766,-9.263193,39.0964,69,149.0
46,48962,-9.227518,38.698454,69,4871.0
47,24163,-9.106216,38.774259,69,154.0
48,48961,-9.101171,38.742444,69,159.0
49,11767,-9.324981,38.970477,69,164.0
50,11720,-9.286032,38.918464,69,166.0
51,27263,-9.427221,38.803605,69,181.0
52,9043,-9.175601,38.754527,69,183.0
53,11775,-9.255029,38.930512,69,3196.0
54,3891,-9.17355,38.70876,69,29230.0
55,21612,-9.174412,38.704264,69,191.0
56,31624,-9.098694,38.767725,63,193.0
57,18339,-9.326279,38.854778,69,194.0
58,11127,-9.159037,38.838195,75,195.0
59,27090,-9.433075,38.811693,69,196.0
60,13512,-9.230822,38.701208,69,199.0
61,21611,-9.217942,38.758942,69,201.0
62,23767,-9.176292,38.705427,69,202.0
63,32071,-9.234222,38.76162,69,205.0
64,21610,-9.353023,38.697255,69,207.0
65,25081,-9.14236,38.710386,69,4833.666667
66,7591,-9.105902,38.773957,69,208.0
67,21281,-9.150485,38.721214,69,210.0
68,24286,-9.211442,38.709199,69,876.0
69,2226,-9.124996,38.782102,89,218.0
70,21684,-9.197805,38.754243,69,8521.0
71,291,-9.359227,38.69187,71,226.0
72,18073,-9.344087,38.793518,69,230.0
